"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.436 "111111" 0.398 "010101" 0.398 "110110" 0.384 "100110" 0.384 "111100" 0.384 "101101" 0.384 "111001" 0.313 "011000" 0.313 "000011" 0.313 "000001"
0.509 "000001" 0.506 "000101" 0.506 "001001" 0.491 "000011" 0.491 "110011" 0.491 "101000" 0.491 "111111" 0.406 "010100" 0.406 "000010" 0.406 "000011"
0.419 "101010" 0.419 "000010" 0.419 "001100" 0.419 "010100" 0.401 "100000" 0.295 "001000" 0.295 "000000" 0.295 "111000" 0.295 "110000" 0.295 "000111"
0.511 "000110" 0.448 "010001" 0.448 "010010" 0.448 "110100" 0.448 "011110" 0.448 "011011" 0 "000000" 0 "000000" 0 "000000" 0 "000000"
0.427 "100010" 0.33 "100010" 0.33 "000010" 0.33 "010101" 0.33 "010010" 0.33 "110000" 0.136 "000000" 0.113 "000000" 0.113 "010001" 0.113 "000000"
0.267 "000000" 0.184 "000001" 0.184 "000000" 0.184 "101000" 0.184 "000010" 0.184 "000000" 0.184 "001000" 0.094 "001000" 0.094 "010010" 0.094 "000000"
0.349 "101001" 0.335 "100000" 0.335 "000000" 0.335 "100100" 0.335 "011001" 0.335 "000010" 0.335 "100110" 0.243 "000000" 0.243 "000100" 0.243 "000000"
0.324 "011011" 0.264 "000010" 0.264 "011000" 0.264 "010000" 0.264 "001001" 0.251 "000000" 0.24 "000000" 0.205 "000101" 0.205 "000100" 0.048 "000000"
0.343 "110010" 0.334 "010110" 0.334 "100000" 0.334 "001010" 0.334 "010001" 0.334 "101111" 0.326 "010010" 0.282 "011101" 0.282 "000110" 0.139 "000001"
0.398 "100000" 0.398 "100010" 0.293 "010101" 0.293 "100000" 0.197 "000001" 0.197 "000000" 0.197 "000000" 0.197 "010101" 0.197 "001011" 0.197 "001000"
0.45 "100000" 0.448 "001111" 0.076 "000000" 0.076 "000000" 0.076 "100000" 0.076 "000000" 0.076 "000000" 0.076 "100000" 0.076 "000000" 0.076 "000000"
0.537 "110100" 0.516 "101000" 0.516 "110011" 0.516 "010010" 0.516 "111000" 0.039 "000000" 0 "000000" 0 "000000" 0 "000000" 0 "000000"
0.434 "111010" 0.421 "101101" 0.417 "000110" 0.417 "010010" 0.417 "110010" 0.346 "100011" 0.286 "000000" 0.286 "100000" 0.286 "100011" 0.049 "000100"
0.504 "110001" 0.504 "101010" 0.503 "111101" 0.503 "001010" 0.503 "100100" 0.503 "010100" 0.455 "101011" 0.453 "101001" 0.453 "000011" 0.234 "100110"
0.298 "000100" 0.298 "111000" 0.298 "001100" 0.298 "110000" 0.298 "000100" 0.298 "100100" 0.298 "101100" 0.298 "011010" 0.298 "000001" 0.298 "001111"
0.465 "101101" 0.465 "100001" 0.167 "011000" 0.167 "101000" 0.167 "010000" 0.164 "100000" 0.021 "000000" 0.021 "000000" 0.021 "000000" 0.014 "000000"
0.549 "101000" 0.549 "101011" 0.46 "000000" 0.46 "010110" 0.46 "110011" 0.46 "000001" 0.317 "000100" 0.317 "100001" 0.317 "111100" 0.312 "001001"
0.481 "010011" 0.44 "011011" 0.44 "001110" 0.44 "000111" 0.44 "111100" 0.44 "011100" 0.44 "010000" 0.369 "000100" 0.369 "010100" 0.369 "100101"
0.382 "010100" 0.336 "011011" 0.336 "000010" 0.336 "000001" 0.336 "101010" 0.336 "011010" 0.336 "001010" 0.336 "110011" 0.336 "001111" 0.336 "110010"
0.514 "011100" 0.514 "001010" 0.514 "110111" 0.514 "100011" 0.514 "001010" 0.514 "111111" 0.514 "101100" 0.514 "111110" 0.514 "101000" 0.514 "101110"
0.366 "001000" 0.366 "000100" 0.161 "010000" 0.161 "100000" 0.161 "110000" 0.161 "010100" 0.037 "100000" 0.037 "000000" 0.037 "001000" 0.037 "000000"
0.524 "110111" 0.264 "000100" 0.264 "000100" 0.264 "110100" 0.264 "000000" 0.264 "110001" 0.264 "001010" 0.106 "000000" 0.106 "001001" 0.106 "000000"
0.36 "000100" 0.126 "000000" 0.126 "000100" 0.126 "010000" 0.126 "000100" 0.126 "000000" 0.126 "000000" 0.126 "000000" 0.126 "000000" 0.126 "000000"
0.142 "000000" 0.142 "000000" 0.142 "000000" 0.142 "110000" 0.142 "000000" 0.142 "000000" 0.142 "000000" 0.142 "001000" 0.142 "000000" 0.142 "000000"
0.141 "000100" 0.087 "000000" 0.087 "000100" 0.087 "000110" 0.087 "000000" 0.087 "100000" 0.087 "010000" 0.087 "010000" 0.087 "100000" 0.087 "000000"
0.099 "000000" 0.099 "000000" 0.099 "000000" 0.099 "001000" 0.099 "001011" 0.099 "100000" 0.099 "001000" 0.099 "000000" 0.099 "000000" 0.099 "000000"
0.511 "001110" 0.511 "010100" 0.511 "001110" 0.511 "101011" 0.511 "011100" 0.511 "011001" 0.511 "111010" 0.511 "000010" 0.511 "100101" 0.511 "001001"
0.59 "101000" 0.59 "010010" 0.59 "101000" 0.41 "100101" 0.41 "000100" 0.41 "010000" 0.408 "001001" 0.408 "001100" 0.408 "110100" 0.408 "100000"
