"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.229 "100000" 0.229 "001000" 0.229 "000100" 0.229 "000000" 0.229 "010001" 0.229 "000000" 0.229 "011001" 0.229 "000010" 0.229 "100000" 0.229 "100000"
0.568 "101010" 0.568 "110001" 0.568 "111111" 0.568 "110011" 0.568 "011001" 0.568 "000101" 0.568 "011010" 0.568 "000110" 0.568 "111111" 0.568 "011011"
0.214 "100000" 0.214 "111101" 0.214 "000110" 0.214 "000001" 0.214 "000000" 0.214 "101000" 0.214 "000000" 0.214 "010100" 0.214 "100001" 0.214 "010000"
0.6 "100110" 0.599 "001100" 0.599 "111001" 0.599 "100000" 0.599 "111101" 0.599 "010011" 0.599 "001011" 0.599 "001011" 0.535 "111011" 0.535 "110110"
0.4 "000110" 0.4 "110110" 0.4 "001101" 0.251 "001000" 0.251 "101001" 0.251 "001101" 0.251 "100010" 0.251 "101011" 0.208 "010011" 0.208 "100011"
0.325 "000000" 0.325 "000011" 0.325 "101100" 0.161 "000000" 0.161 "010000" 0.161 "010000" 0.161 "000000" 0.161 "000100" 0.161 "000000" 0.161 "100000"
0.496 "100011" 0.496 "110111" 0.496 "101101" 0.496 "000111" 0.496 "010001" 0.496 "001110" 0.496 "101111" 0.496 "101000" 0.496 "011110" 0.496 "010001"
0.346 "010110" 0.346 "010001" 0.346 "000110" 0.346 "010101" 0.346 "001011" 0.346 "100011" 0.346 "000000" 0.346 "100101" 0.346 "010010" 0.346 "010111"
0.21 "000000" 0.21 "010000" 0.21 "000000" 0.21 "000101" 0.21 "000000" 0.21 "010000" 0.21 "000000" 0.21 "000000" 0.21 "101010" 0.21 "001100"
0.239 "001000" 0.239 "010000" 0.239 "000000" 0.239 "000000" 0.239 "000001" 0.239 "100001" 0.239 "000000" 0.239 "010000" 0.239 "111101" 0.239 "000100"
