"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.469 "011101" 0.45 "100100" 0.45 "011011" 0.45 "010010" 0.45 "111010" 0.316 "000000" 0.316 "000010" 0.316 "000001" 0.316 "001100" 0.316 "001001"
0.474 "101000" 0.375 "000001" 0.375 "000101" 0.375 "011101" 0.375 "011010" 0.275 "001000" 0.275 "111000" 0.275 "001000" 0.275 "000010" 0.275 "011000"
0.521 "000100" 0.387 "101001" 0.387 "001111" 0.387 "011001" 0.387 "101101" 0.379 "001010" 0.379 "101110" 0.379 "000111" 0.379 "000001" 0.379 "100101"
0.364 "110010" 0.364 "100111" 0.364 "010111" 0.364 "101000" 0.364 "001001" 0.275 "000000" 0.275 "001001" 0.275 "000110" 0.275 "110011" 0.275 "000000"
0.544 "111101" 0.544 "100001" 0.544 "111000" 0.544 "111001" 0.544 "111101" 0.425 "011110" 0.425 "010000" 0.425 "011010" 0.425 "000101" 0.425 "111100"
0.364 "010011" 0.364 "000011" 0.364 "000100" 0.364 "011110" 0.364 "011000" 0.243 "011010" 0.243 "001001" 0.243 "000001" 0.243 "010000" 0.243 "000101"
0.367 "100000" 0.357 "010101" 0.357 "110000" 0.357 "101010" 0.357 "001110" 0.244 "000010" 0.244 "010100" 0.244 "001010" 0.243 "000001" 0.243 "100000"
0.309 "100110" 0.236 "011000" 0.236 "000001" 0.236 "000000" 0.236 "000000" 0.184 "000100" 0.184 "000000" 0.184 "000000" 0.168 "100000" 0.168 "000100"
0.349 "000011" 0.266 "000000" 0.266 "010110" 0.266 "101100" 0.266 "001000" 0.266 "010000" 0.266 "101010" 0.266 "000000" 0.245 "000000" 0.245 "111011"
0.361 "000010" 0.284 "010000" 0.284 "010010" 0.284 "011011" 0.136 "000010" 0.136 "000100" 0.136 "110000" 0.136 "000010" 0.116 "100000" 0.116 "000100"
0.505 "110010" 0.489 "101100" 0.489 "100110" 0.489 "101011" 0.163 "000000" 0.163 "010010" 0.157 "000000" 0.157 "000000" 0.155 "000000" 0.155 "000000"
0.358 "100100" 0.358 "000010" 0.358 "111111" 0.358 "000010" 0.336 "101000" 0.336 "101111" 0.137 "110000" 0.137 "000000" 0.137 "000110" 0.137 "000010"
0.252 "101000" 0.252 "000001" 0.252 "000110" 0.252 "000101" 0.252 "000110" 0.12 "000000" 0.12 "000000" 0.12 "001000" 0.12 "000000" 0.12 "010000"
0.15 "100001" 0.15 "000000" 0.15 "000000" 0.148 "000000" 0.148 "001011" 0.055 "000000" 0.055 "000000" 0.055 "000000" 0.055 "000001" 0.055 "000000"
0.344 "100100" 0.33 "101000" 0.33 "010110" 0.33 "100000" 0.293 "010001" 0.293 "000000" 0.293 "000010" 0.287 "000010" 0.242 "001001" 0.242 "010000"
0.374 "000100" 0.374 "000100" 0.374 "100001" 0.374 "100001" 0.252 "001111" 0.252 "100000" 0.252 "000010" 0.209 "000100" 0.186 "100100" 0.186 "110000"
0.369 "000011" 0.369 "100001" 0.369 "010000" 0.369 "000111" 0.365 "000100" 0.365 "000100" 0.365 "011110" 0.334 "000010" 0.334 "110001" 0.334 "100101"
0.614 "110011" 0.614 "000100" 0.614 "101100" 0.614 "100111" 0.293 "000001" 0.254 "000000" 0.254 "100000" 0.254 "001010" 0.254 "000100" 0.254 "000110"
0.309 "000110" 0.309 "000000" 0.081 "000000" 0.021 "000000" 0.021 "001000" 0.021 "000000" 0.021 "010000" 0.021 "000000" 0 "000000" 0 "000000"
0.478 "100111" 0.478 "001000" 0.134 "000010" 0.1 "010100" 0.1 "000000" 0.1 "100000" 0.1 "000001" 0.1 "000000" 0.004 "000000" 0.004 "000000"
0.384 "100011" 0.384 "101001" 0.38 "000011" 0.379 "000000" 0.379 "111000" 0.379 "110100" 0.379 "111000" 0.379 "110000" 0.282 "000001" 0.282 "000001"
0.313 "010101" 0.313 "000010" 0.313 "110001" 0.313 "100000" 0.313 "100010" 0.313 "000000" 0.313 "110100" 0.204 "001001" 0.169 "011001" 0.169 "000001"
0.447 "010111" 0.182 "000000" 0.182 "100000" 0.135 "000000" 0.135 "001000" 0.133 "000000" 0.133 "001100" 0.133 "000000" 0.133 "000000" 0.133 "010010"
0.406 "110011" 0.151 "010110" 0.151 "000000" 0.021 "000000" 0.021 "000000" 0.021 "000000" 0.021 "000000" 0.021 "000000" 0.021 "000000" 0.021 "000000"
0.344 "110100" 0.344 "101100" 0.329 "010100" 0.223 "000100" 0.223 "000110" 0.223 "010001" 0.223 "000000" 0.223 "010000" 0.211 "010010" 0.211 "010100"
0.424 "110000" 0.424 "000011" 0.406 "111101" 0.346 "101000" 0.346 "110001" 0.346 "001010" 0.346 "001101" 0.346 "100010" 0.294 "001110" 0.294 "000100"
0.18 "000000" 0.18 "100000" 0.18 "001000" 0.163 "000001" 0.163 "001000" 0.163 "000000" 0.163 "000011" 0.101 "000000" 0.001 "000000" 0.001 "000000"
0.206 "000000" 0.206 "000000" 0.206 "001010" 0.187 "000100" 0.187 "010100" 0.187 "000110" 0.187 "010000" 0.074 "000000" 0 "000000" 0 "000000"
0.196 "000000" 0.196 "001100" 0.196 "000100" 0.178 "000010" 0.178 "000000" 0.178 "000000" 0.178 "001000" 0.025 "000000" 0 "000000" 0 "000000"
0.333 "010000" 0.333 "100000" 0.333 "000010" 0.333 "000101" 0.333 "111000" 0.333 "000010" 0.333 "000110" 0.333 "101100" 0.333 "010010" 0.333 "011100"
0.321 "100000" 0.248 "100001" 0.248 "000001" 0.203 "010010" 0.203 "101000" 0.203 "000000" 0.203 "000101" 0.203 "001011" 0.203 "000000" 0.203 "000000"
0.58 "010011" 0.544 "101000" 0.544 "000001" 0.489 "001111" 0.489 "001010" 0.489 "010111" 0.489 "101011" 0.489 "011110" 0.489 "100010" 0.489 "100011"
0.397 "000101" 0.397 "101101" 0.397 "001101" 0.368 "110010" 0.368 "001100" 0.368 "010110" 0.368 "001100" 0.022 "000000" 0.001 "000000" 0.001 "000000"
0.359 "000111" 0.359 "000001" 0.359 "101000" 0.298 "100000" 0.298 "110000" 0.298 "001000" 0.298 "000001" 0.017 "000000" 0 "000000" 0 "000000"
0.181 "000001" 0.181 "100001" 0.181 "000000" 0.105 "000000" 0.105 "000100" 0.105 "000000" 0.105 "000000" 0.001 "000000" 0 "000000" 0 "000000"
0.179 "100000" 0.179 "001000" 0.179 "000010" 0.165 "000000" 0.165 "000011" 0.165 "000000" 0.165 "000000" 0.165 "110011" 0.165 "000000" 0.165 "001000"
0.518 "000000" 0.518 "011001" 0.518 "011001" 0.501 "001010" 0.501 "101000" 0.501 "011111" 0.501 "001001" 0.501 "001100" 0.501 "000110" 0.501 "011111"
0.236 "101100" 0.236 "001000" 0.236 "000001" 0.187 "001000" 0.187 "000100" 0.187 "101010" 0.187 "101011" 0.12 "100011" 0.12 "000000" 0.12 "010001"
0.26 "000001" 0.26 "101000" 0.235 "000000" 0.119 "000001" 0.119 "010000" 0.119 "000010" 0.119 "101000" 0.08 "000000" 0.08 "000000" 0.08 "001100"
0.405 "001000" 0.405 "000000" 0.153 "000000" 0.044 "000000" 0.044 "000000" 0.044 "001000" 0.044 "000000" 0.023 "000000" 0.023 "000000" 0.023 "000010"
0.518 "100101" 0.518 "000101" 0.501 "101010" 0.444 "111000" 0.444 "100110" 0.42 "011010" 0.42 "001000" 0.42 "101000" 0.42 "111010" 0.42 "001110"
0.496 "101110" 0.496 "000111" 0.219 "000000" 0.129 "000000" 0.129 "001000" 0.122 "000010" 0.122 "000111" 0.122 "100000" 0.122 "000101" 0.122 "000010"
0.344 "101010" 0.344 "010010" 0.344 "101000" 0.344 "110011" 0.344 "110000" 0.344 "010110" 0.206 "000000" 0.206 "000000" 0.206 "111101" 0.061 "000000"
0.281 "110001" 0.281 "100001" 0.281 "000000" 0.281 "000000" 0.281 "000110" 0.279 "001000" 0.18 "000010" 0.18 "100000" 0.18 "001000" 0 "000000"
0.168 "000000" 0.168 "001100" 0.168 "011000" 0.159 "000001" 0.159 "000010" 0.057 "000001" 0.051 "000000" 0.051 "000000" 0.051 "000000" 0.051 "000000"
0.377 "001010" 0.377 "001000" 0.377 "110011" 0.23 "000100" 0.23 "000000" 0.132 "000000" 0.132 "000000" 0.132 "010000" 0.132 "011000" 0.132 "100000"
0.513 "010100" 0.513 "001000" 0.513 "101101" 0.22 "000000" 0.22 "100000" 0.17 "000100" 0.17 "000000" 0.17 "010100" 0.17 "000100" 0.17 "010100"
0.231 "000010" 0.231 "000100" 0.206 "011010" 0.206 "010000" 0.206 "000001" 0.206 "001000" 0.08 "000000" 0.08 "000000" 0.08 "101000" 0.08 "000001"
0.268 "100000" 0.258 "101000" 0.258 "110100" 0.192 "000001" 0.192 "011000" 0.053 "000000" 0.053 "000000" 0.053 "000000" 0.053 "000000" 0.053 "000000"
0.407 "000000" 0.406 "010110" 0.406 "000110" 0.235 "010100" 0.235 "001011" 0.167 "000001" 0.167 "001000" 0.167 "000000" 0.167 "001000" 0.167 "100000"
0.307 "010000" 0.307 "101001" 0.257 "011000" 0.257 "100000" 0.257 "011001" 0.257 "001100" 0.24 "000101" 0.24 "010000" 0.24 "000000" 0.154 "001000"
0.493 "000100" 0.493 "010011" 0.442 "000001" 0.442 "010000" 0.442 "011001" 0.442 "110011" 0.404 "101011" 0.404 "000101" 0.404 "010000" 0.404 "001000"
0.46 "100101" 0.46 "100000" 0.407 "101000" 0.407 "010010" 0.407 "000101" 0.403 "000110" 0.355 "100000" 0.355 "001100" 0.355 "000001" 0.355 "011010"
0.573 "111110" 0.534 "110100" 0.534 "001111" 0.534 "111001" 0.534 "010010" 0.481 "001000" 0.481 "001011" 0.481 "010100" 0.481 "011011" 0.481 "001001"
