"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.189 "011000" 0.189 "001000" 0.189 "010000" 0.189 "010100" 0.189 "000100" 0.189 "100000" 0.189 "000100" 0.189 "000000" 0.189 "010000" 0.189 "000100"
0.58 "011111" 0.58 "010110" 0.58 "010010" 0.58 "101101" 0.58 "101101" 0.58 "111011" 0.58 "100100" 0.58 "100011" 0.58 "010010" 0.58 "110110"
0.354 "010001" 0.354 "000000" 0.354 "001001" 0.306 "000001" 0.306 "010010" 0.306 "010000" 0.306 "100000" 0.306 "100100" 0.306 "110000" 0.306 "011110"
0.33 "010011" 0.33 "011101" 0.33 "000000" 0.299 "000100" 0.299 "010000" 0.242 "110001" 0.242 "000000" 0.242 "001000" 0.242 "000010" 0.242 "001000"
0.421 "011001" 0.421 "001001" 0.421 "100001" 0.421 "011111" 0.42 "001101" 0.41 "011110" 0.41 "000101" 0.41 "001010" 0.41 "110101" 0.41 "010110"
0.405 "001000" 0.405 "100101" 0.405 "000000" 0.405 "000001" 0.405 "011100" 0.405 "000101" 0.405 "011000" 0.405 "011001" 0.405 "100000" 0.405 "001101"
0.151 "010000" 0.151 "010000" 0.151 "000011" 0.151 "001011" 0.151 "000000" 0.151 "000000" 0.151 "001000" 0.151 "000100" 0.151 "000000" 0.151 "010010"
0.318 "000000" 0.318 "011000" 0.318 "110000" 0.263 "000100" 0.263 "100000" 0.263 "000000" 0.263 "110001" 0.263 "000100" 0.263 "100010" 0.263 "010110"
0.491 "001001" 0.491 "011101" 0.491 "111111" 0.167 "000001" 0.167 "000000" 0.167 "001000" 0.167 "000000" 0.167 "010010" 0.167 "000000" 0.167 "000001"
0.304 "010110" 0.304 "000100" 0.304 "010000" 0.174 "000100" 0.174 "000000" 0.173 "010000" 0.153 "000000" 0.134 "010000" 0.134 "100011" 0.134 "000001"
0.507 "101000" 0.507 "010000" 0.507 "111011" 0.507 "001101" 0.507 "000000" 0.494 "000111" 0.171 "100000" 0.031 "000000" 0.031 "000000" 0.031 "000000"
0.507 "011100" 0.507 "001101" 0.507 "100011" 0.507 "011101" 0.507 "001010" 0.491 "101010" 0.35 "111010" 0.159 "000000" 0.159 "001000" 0.159 "000000"
0.442 "110011" 0.442 "110010" 0.442 "100011" 0.442 "110110" 0.442 "000000" 0.386 "000000" 0.386 "001000" 0.386 "011101" 0.386 "010110" 0.386 "011010"
0.266 "001100" 0.266 "010100" 0.266 "110101" 0.266 "010001" 0.266 "110010" 0.266 "000011" 0.266 "000000" 0.266 "010000" 0.263 "100000" 0.263 "001000"
0.165 "000000" 0.165 "000000" 0.165 "000000" 0.124 "100000" 0.124 "010011" 0.099 "000010" 0.099 "000000" 0.098 "001000" 0.098 "100000" 0.098 "000001"
0.45 "100011" 0.45 "011100" 0.45 "010011" 0.45 "110001" 0.45 "101011" 0.382 "001001" 0.324 "000000" 0.289 "000000" 0.289 "100001" 0.289 "001000"
0.275 "011100" 0.275 "100100" 0.275 "000010" 0.275 "001001" 0.275 "100100" 0.203 "000011" 0.177 "100010" 0.108 "000100" 0.108 "000010" 0.108 "000000"
0.474 "011110" 0.474 "000010" 0.474 "110101" 0.474 "000110" 0.474 "100000" 0.311 "000111" 0.31 "010001" 0.31 "000000" 0.31 "000110" 0.31 "000010"
0.247 "001100" 0.247 "010000" 0.247 "000001" 0.247 "111101" 0.247 "001001" 0.247 "100011" 0.247 "000010" 0.156 "000011" 0.083 "000000" 0.083 "000000"
0.539 "100011" 0.539 "110101" 0.539 "001111" 0.539 "100010" 0.539 "111110" 0.539 "010111" 0.539 "101111" 0.539 "010110" 0.494 "001101" 0.494 "110100"
0.223 "000000" 0.223 "001011" 0.223 "000000" 0.223 "010000" 0.223 "000010" 0.223 "000000" 0.223 "001000" 0.223 "000000" 0.186 "100000" 0.186 "000000"
0.493 "100100" 0.493 "000101" 0.493 "011110" 0.493 "001011" 0.493 "100000" 0.393 "000000" 0.393 "010000" 0.393 "001010" 0.393 "001000" 0.393 "010000"
0.145 "000000" 0.145 "000000" 0.145 "100000" 0.145 "100000" 0.145 "000000" 0.097 "000000" 0.014 "000000" 0.014 "000000" 0.001 "000000" 0.001 "000000"
0.442 "001010" 0.442 "001000" 0.442 "101100" 0.442 "001000" 0.442 "100011" 0.442 "100001" 0.391 "101000" 0.084 "000000" 0.001 "000000" 0.001 "000000"
0.462 "111101" 0.462 "111101" 0.462 "010011" 0.462 "010010" 0.462 "111111" 0.462 "010010" 0.448 "010101" 0.207 "000100" 0.083 "000001" 0.083 "000000"
0.528 "111110" 0.528 "110110" 0.528 "000000" 0.528 "100101" 0.528 "011000" 0.528 "110111" 0.528 "011010" 0.528 "110111" 0.45 "111011" 0.45 "100100"
0.227 "011001" 0.227 "100000" 0.227 "100000" 0.227 "000000" 0.227 "000001" 0.227 "100000" 0.227 "011011" 0.227 "001001" 0.175 "010110" 0.175 "001000"
0.451 "110010" 0.451 "101000" 0.451 "111010" 0.451 "001010" 0.451 "111000" 0.422 "000100" 0.422 "100010" 0.422 "001001" 0.42 "111100" 0.42 "111010"
0.37 "011001" 0.37 "000110" 0.37 "010001" 0.37 "011100" 0.37 "000101" 0.283 "001000" 0.283 "000100" 0.283 "010010" 0.283 "101001" 0.283 "011000"
0.371 "010001" 0.371 "011010" 0.088 "000000" 0.088 "000000" 0.088 "101000" 0.069 "000000" 0 "000000" 0 "000000" 0 "000000" 0 "000000"
0.341 "000110" 0.341 "110101" 0.172 "100000" 0.172 "011000" 0.172 "101000" 0.169 "000000" 0.004 "000000" 0.004 "000000" 0 "000000" 0 "000000"
0.534 "101111" 0.534 "101011" 0.188 "000001" 0.188 "001010" 0.188 "001010" 0.188 "000000" 0.067 "000110" 0.047 "000000" 0 "000000" 0 "000000"
