"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.452 "101011" 0.229 "010000" 0.229 "000000" 0.229 "100100" 0.229 "000100" 0.229 "000000" 0.229 "000000" 0.229 "011000" 0.229 "000000" 0.229 "000100"
0.57 "111101" 0.57 "011110" 0.57 "100101" 0.57 "010100" 0.57 "010011" 0.57 "011001" 0.57 "111000" 0.57 "001011" 0.57 "111101" 0.57 "101111"
0.487 "011010" 0.487 "000111" 0.487 "010010" 0.484 "010110" 0.484 "110101" 0.484 "100010" 0.484 "001101" 0.484 "011010" 0.484 "110010" 0.484 "111001"
0.563 "110101" 0.346 "100100" 0.346 "000100" 0.346 "110010" 0.189 "000010" 0.189 "001000" 0.189 "000110" 0.189 "000100" 0.189 "000000" 0.189 "010010"
0.462 "100011" 0.249 "000000" 0.249 "011000" 0.249 "000001" 0.185 "010000" 0.185 "000100" 0.185 "000000" 0.185 "011100" 0.185 "000100" 0.185 "000000"
0.285 "001001" 0.285 "001000" 0.285 "000101" 0.285 "010000" 0.285 "100010" 0.285 "000000" 0.285 "100001" 0.166 "000000" 0.166 "000001" 0.166 "110000"
0.288 "010100" 0.288 "000001" 0.288 "100101" 0.283 "000110" 0.283 "001110" 0.283 "011101" 0.283 "101001" 0.179 "000000" 0.179 "000000" 0.179 "001000"
0.231 "000000" 0.231 "000000" 0.231 "011000" 0.217 "000001" 0.217 "000000" 0.217 "000000" 0.217 "000011" 0.217 "101000" 0.217 "000110" 0.217 "010001"
0.236 "010001" 0.236 "011010" 0.236 "000100" 0.205 "010000" 0.205 "110001" 0.205 "010001" 0.15 "000000" 0.15 "010000" 0.15 "000000" 0.15 "000010"
0.403 "000110" 0.403 "111110" 0.403 "101010" 0.336 "001000" 0.336 "001110" 0.336 "010010" 0.108 "000000" 0.108 "000000" 0.108 "010000" 0.108 "000010"
0.323 "100000" 0.323 "000101" 0.323 "010000" 0.131 "000010" 0.105 "000000" 0.105 "000000" 0.09 "000000" 0.09 "000000" 0.09 "010000" 0.09 "010000"
0.519 "011111" 0.519 "110111" 0.519 "000000" 0.35 "100010" 0.27 "001000" 0.27 "011000" 0.27 "100010" 0.27 "100100" 0.27 "000000" 0.27 "000100"
0.296 "011110" 0.21 "100000" 0.21 "000010" 0.21 "001010" 0.21 "110000" 0.21 "011000" 0.21 "000000" 0.209 "000000" 0.209 "000100" 0.209 "010000"
0.426 "011000" 0.426 "000000" 0.426 "001111" 0.424 "011000" 0.424 "010000" 0.424 "011001" 0.424 "010011" 0.122 "000000" 0.122 "001010" 0.122 "000001"
0.431 "001010" 0.431 "101010" 0.431 "000010" 0.364 "110100" 0.364 "001000" 0.364 "000010" 0.015 "000000" 0.015 "000000" 0.015 "000000" 0.015 "000000"
0.357 "101000" 0.357 "000101" 0.357 "010000" 0.237 "100001" 0.047 "000000" 0.047 "000000" 0.01 "000000" 0.01 "000000" 0 "000000" 0 "000000"
0.461 "100001" 0.461 "101000" 0.461 "100101" 0.398 "100001" 0.009 "100000" 0.009 "000000" 0.009 "000000" 0.009 "000000" 0 "000000" 0 "000000"
0.529 "111111" 0.529 "111011" 0.529 "101110" 0.529 "010100" 0.529 "100011" 0.529 "110101" 0.529 "001101" 0.529 "011010" 0.529 "010001" 0.529 "111011"
0.117 "010000" 0.109 "010000" 0.109 "100000" 0.038 "000000" 0.038 "000000" 0.038 "000000" 0.038 "100000" 0.032 "000000" 0.032 "000000" 0.032 "000000"
0.479 "100011" 0.138 "000000" 0.138 "000100" 0.001 "000000" 0.001 "000000" 0.001 "000000" 0.001 "000000" 0.001 "000000" 0.001 "000000" 0.001 "000000"
0.346 "010110" 0.144 "000000" 0.144 "100000" 0.002 "000000" 0.002 "000000" 0.002 "000000" 0 "000000" 0 "000000" 0 "000000" 0 "000000"
0.356 "000001" 0.356 "000011" 0.207 "110001" 0.12 "000100" 0.093 "010000" 0.093 "000000" 0.093 "100000" 0.093 "000000" 0 "000000" 0 "000000"
0.202 "000101" 0.202 "001001" 0.202 "000001" 0.202 "010010" 0.202 "000000" 0.202 "001100" 0.202 "000101" 0.202 "100010" 0.202 "000100" 0.202 "000001"
0.474 "100111" 0.474 "110011" 0.474 "010110" 0.459 "001000" 0.459 "010110" 0.459 "101000" 0.459 "000110" 0.459 "011101" 0.459 "110011" 0.459 "100101"
0.417 "001000" 0.417 "010110" 0.417 "000110" 0.361 "000010" 0.361 "110100" 0.361 "000100" 0.361 "001100" 0.361 "110011" 0.361 "001001" 0.361 "001000"
0.484 "000100" 0.441 "110001" 0.441 "110000" 0.352 "100000" 0.352 "001011" 0.352 "010110" 0.352 "110110" 0.352 "011101" 0.352 "111010" 0.352 "010011"
0.185 "011000" 0.158 "001010" 0.15 "000001" 0.053 "000000" 0.053 "000000" 0.053 "010001" 0.053 "101000" 0.053 "000000" 0.053 "000000" 0.053 "000000"
0.38 "001011" 0.38 "000011" 0.138 "000000" 0.084 "000000" 0.084 "000000" 0.084 "000001" 0.084 "000000" 0.084 "000000" 0.027 "000000" 0.027 "100000"
0.474 "011101" 0.474 "110100" 0.275 "000101" 0.252 "000000" 0.252 "000011" 0.252 "001101" 0.252 "101001" 0.17 "101000" 0.02 "000000" 0.02 "000000"
0.273 "000100" 0.273 "001000" 0.273 "100000" 0.273 "110100" 0.273 "100100" 0.273 "000011" 0.273 "101001" 0.273 "000101" 0.273 "100100" 0.273 "100100"
0.533 "110111" 0.533 "101001" 0.533 "110010" 0.533 "111011" 0.533 "010101" 0.533 "000000" 0.533 "110110" 0.533 "001110" 0.533 "001010" 0.533 "011100"
0.336 "111001" 0.336 "001100" 0.336 "100100" 0.334 "110111" 0.334 "111110" 0.334 "010101" 0.334 "111010" 0.334 "001000" 0.334 "011010" 0.334 "101010"
0.381 "011110" 0.381 "000001" 0.106 "000000" 0.082 "000000" 0.082 "000000" 0.081 "000100" 0.081 "000000" 0.081 "000000" 0.081 "000000" 0.081 "000000"
0.386 "001001" 0.386 "000000" 0.164 "000000" 0.16 "100000" 0.16 "000100" 0.16 "000000" 0.16 "000000" 0.16 "100110" 0.114 "000000" 0.114 "000000"
0.491 "011010" 0.491 "000001" 0.489 "001000" 0.489 "111001" 0.489 "100101" 0.489 "111110" 0.489 "110111" 0.262 "000011" 0.135 "001000" 0.135 "000000"
0.355 "000001" 0.355 "000000" 0.355 "100000" 0.355 "010100" 0.355 "110001" 0.355 "000100" 0.355 "000110" 0.355 "011001" 0.355 "110000" 0.355 "011011"
0.514 "100100" 0.514 "111001" 0.514 "110001" 0.513 "101001" 0.513 "111011" 0.096 "100000" 0.096 "100000" 0.096 "000000" 0.096 "000000" 0.096 "100000"
0.394 "100100" 0.394 "100011" 0.278 "000001" 0.278 "000101" 0.278 "000100" 0.106 "000000" 0.106 "000000" 0.106 "001000" 0.106 "010000" 0.106 "000010"
0.421 "001100" 0.421 "100011" 0.341 "001001" 0.341 "000000" 0.341 "000101" 0.341 "000100" 0.341 "100001" 0.341 "100011" 0.333 "010100" 0.333 "010101"
0.482 "100111" 0.482 "110011" 0.482 "101011" 0.482 "100011" 0.482 "010011" 0.482 "000011" 0.482 "100100" 0.47 "111110" 0.434 "011101" 0.434 "101110"
0.256 "110010" 0.256 "010000" 0.256 "010010" 0.256 "000000" 0.256 "000011" 0.256 "000010" 0.256 "000010" 0.247 "000000" 0.247 "010100" 0.247 "100001"
0.314 "001100" 0.314 "001000" 0.314 "011000" 0.314 "100010" 0.314 "011110" 0.314 "100000" 0.314 "010100" 0.237 "101000" 0.236 "100000" 0.236 "010100"
0.544 "110011" 0.544 "011111" 0.544 "110010" 0.544 "011101" 0.544 "011011" 0.262 "000100" 0.186 "011000" 0.186 "100000" 0.186 "000100" 0.186 "000100"
0.263 "000010" 0.263 "100010" 0.263 "110000" 0.263 "010010" 0.263 "110000" 0.262 "100001" 0.111 "010000" 0.111 "000000" 0.111 "100000" 0.111 "000000"
0.592 "100101" 0.592 "100011" 0.592 "111100" 0.592 "101111" 0.592 "110110" 0.592 "101010" 0.592 "101111" 0.592 "011010" 0.592 "111100" 0.592 "111110"
0.351 "101101" 0.351 "010001" 0.351 "000010" 0.351 "111110" 0.351 "110110" 0.351 "001011" 0.351 "101011" 0.276 "000000" 0.276 "110000" 0.276 "000001"
