"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.584 "010000" 0.584 "001001" 0.584 "110110" 0.532 "111000" 0.532 "101101" 0.532 "100000" 0.532 "010110" 0.532 "001001" 0.532 "000011" 0.532 "000110"
0.461 "000111" 0.461 "011011" 0.461 "101100" 0.362 "000100" 0.1 "110000" 0.1 "010000" 0.1 "000010" 0.1 "000011" 0.1 "000000" 0.1 "000000"
0.477 "011000" 0.465 "100011" 0.465 "110000" 0.417 "010110" 0 "000000" 0 "000000" 0 "000000" 0 "000000" 0 "000000" 0 "000000"
0.309 "000011" 0.309 "100000" 0.309 "010001" 0.309 "000010" 0.13 "000000" 0.126 "000001" 0.126 "010100" 0.126 "000100" 0.126 "000000" 0.126 "000000"
0.313 "000110" 0.313 "100000" 0.312 "100001" 0.309 "000001" 0.255 "000100" 0.255 "110000" 0.255 "001000" 0.255 "000010" 0.255 "000011" 0.255 "010000"
0.113 "000000" 0.113 "000001" 0.101 "000000" 0.052 "000000" 0.052 "000001" 0.052 "000000" 0.052 "000000" 0.003 "000000" 0.003 "000000" 0.003 "000000"
0.403 "110000" 0.403 "100010" 0.392 "111010" 0.294 "011010" 0.294 "101011" 0.294 "001001" 0.294 "001100" 0 "000000" 0 "000000" 0 "000000"
0.235 "010001" 0.235 "000000" 0.232 "100010" 0.092 "000000" 0.054 "000000" 0.054 "000000" 0.054 "000010" 0 "000000" 0 "000000" 0 "000000"
0.166 "100100" 0.141 "000010" 0.141 "000001" 0.078 "010000" 0.011 "000000" 0.011 "000000" 0.011 "000000" 0.011 "000000" 0.011 "000000" 0.011 "000000"
0.375 "110000" 0.293 "000011" 0.293 "000100" 0.286 "000000" 0.286 "001000" 0.286 "001100" 0.286 "110100" 0.286 "000110" 0.286 "000110" 0.286 "100000"
0.39 "010000" 0.27 "010000" 0.27 "000000" 0.27 "000000" 0.268 "000001" 0.268 "100000" 0.268 "100101" 0.268 "100000" 0.268 "111000" 0.268 "011000"
0.141 "000000" 0.036 "000000" 0.036 "000000" 0.036 "010000" 0.035 "000000" 0.035 "000000" 0.035 "000000" 0.035 "000000" 0.035 "000000" 0.035 "000000"
0.219 "110000" 0.219 "100010" 0.194 "011000" 0.194 "000010" 0.194 "000010" 0.111 "010100" 0.111 "000000" 0.111 "000000" 0.111 "100000" 0.111 "100000"
0.186 "000001" 0.186 "000000" 0.135 "000000" 0.111 "100000" 0.111 "000100" 0.111 "000000" 0.111 "000100" 0.016 "000000" 0.016 "000011" 0.016 "000000"
