"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.553 "101000" 0.553 "010011" 0.553 "110111" 0.552 "011110" 0.552 "111111" 0.091 "000000" 0.091 "001000" 0.091 "000100" 0.091 "000000" 0.091 "010000"
0.264 "100101" 0.264 "110000" 0.264 "000110" 0.264 "010001" 0.264 "100010" 0.248 "000000" 0.248 "001101" 0.246 "000000" 0.246 "000010" 0.246 "010000"
0.421 "110011" 0.421 "001100" 0.421 "101100" 0.421 "001010" 0.421 "110101" 0.421 "000101" 0.421 "010111" 0.418 "100001" 0.418 "010100" 0.418 "100010"
0.389 "101000" 0.389 "100000" 0.389 "001110" 0.249 "001000" 0.249 "000101" 0.249 "011000" 0.249 "100001" 0.034 "000000" 0.034 "001000" 0 "000000"
0.485 "011001" 0.485 "000000" 0.485 "011011" 0.385 "101000" 0.385 "011010" 0.385 "011010" 0.385 "000000" 0.001 "000000" 0.001 "000000" 0 "000000"
0.281 "001101" 0.281 "010011" 0.281 "000010" 0.236 "000000" 0.236 "000000" 0.234 "000000" 0.234 "011010" 0.225 "010001" 0.225 "100001" 0.225 "010000"
0.353 "100100" 0.353 "011010" 0.353 "001011" 0.348 "000001" 0.348 "000001" 0.336 "100011" 0.336 "001001" 0.328 "110000" 0.328 "010101" 0.328 "000001"
0.238 "010011" 0.238 "100010" 0.238 "000101" 0.238 "000010" 0.238 "110000" 0.238 "000010" 0.238 "000000" 0.196 "010101" 0.196 "000001" 0.196 "000000"
0.453 "000010" 0.453 "001000" 0.453 "010011" 0.453 "000011" 0.453 "000111" 0.453 "100010" 0.453 "001110" 0.423 "101110" 0.423 "000001" 0.423 "001010"
0.293 "010000" 0.293 "001000" 0.293 "100001" 0.293 "000000" 0.293 "001101" 0.293 "010000" 0.293 "100101" 0.265 "010100" 0.265 "000101" 0.265 "001000"
0.403 "101001" 0.403 "000100" 0.403 "111000" 0.403 "000000" 0.403 "101011" 0.403 "111001" 0.403 "001000" 0.401 "100010" 0.401 "000100" 0.401 "010010"
0.432 "011100" 0.432 "101000" 0.432 "111000" 0.432 "001111" 0.432 "100100" 0.432 "100010" 0.432 "101100" 0.432 "000100" 0.432 "100000" 0.432 "010111"
0.257 "001000" 0.257 "010010" 0.257 "010100" 0.142 "000000" 0.142 "000000" 0.133 "000000" 0.133 "000000" 0.077 "001001" 0.077 "000000" 0.027 "000000"
0.267 "001100" 0.267 "000000" 0.267 "110001" 0.219 "000000" 0.219 "000000" 0.219 "001000" 0.219 "000000" 0.219 "011010" 0.219 "001010" 0.219 "110000"
0.197 "001000" 0.197 "000000" 0.197 "000000" 0.197 "010000" 0.197 "000001" 0.197 "001000" 0.197 "100000" 0.142 "000000" 0.142 "000100" 0.071 "000000"
0.452 "011000" 0.452 "100111" 0.452 "011000" 0.452 "011000" 0.452 "100010" 0.452 "111000" 0.452 "111001" 0.439 "010111" 0.439 "100010" 0.308 "100001"
0.473 "011111" 0.473 "011000" 0.473 "100111" 0.473 "101011" 0.473 "111101" 0.473 "000000" 0.473 "000000" 0.473 "100110" 0.473 "011100" 0.471 "100101"
0.617 "101011" 0.617 "100110" 0.617 "110111" 0.598 "101111" 0.598 "111011" 0.27 "110000" 0.257 "010101" 0.257 "000001" 0.257 "000110" 0.006 "000000"
0.422 "100000" 0.422 "100011" 0.422 "100100" 0.422 "100101" 0.422 "010010" 0.422 "001010" 0.422 "111000" 0.404 "001000" 0.404 "100100" 0.404 "010100"
0.422 "001110" 0.422 "000101" 0.422 "010010" 0.422 "010111" 0.422 "000000" 0.422 "101110" 0.422 "001101" 0.351 "001100" 0.351 "000100" 0.351 "000010"
0.391 "110000" 0.391 "100101" 0.391 "011110" 0.391 "111101" 0.391 "110001" 0.391 "110100" 0.391 "010000" 0.299 "011000" 0.299 "100101" 0.299 "110000"
0.51 "100010" 0.51 "011111" 0.51 "001011" 0.51 "111011" 0.51 "111011" 0.51 "101101" 0.51 "100101" 0.497 "110110" 0.497 "001111" 0.181 "000100"
0.536 "011010" 0.536 "000011" 0.536 "001111" 0.536 "011111" 0.536 "101100" 0.215 "000000" 0.128 "000000" 0.128 "000001" 0.128 "000000" 0.068 "000000"
0.454 "110111" 0.454 "010000" 0.454 "001000" 0.451 "000001" 0.451 "001001" 0.302 "010000" 0.256 "000110" 0.256 "000100" 0.256 "100000" 0.256 "000000"
0.483 "110011" 0.483 "111110" 0.483 "000001" 0.358 "110001" 0.358 "101110" 0.358 "110000" 0.356 "100010" 0.346 "000000" 0.346 "001000" 0.346 "000000"
0.481 "001010" 0.481 "001011" 0.481 "110101" 0.412 "100110" 0.412 "010110" 0.412 "110100" 0.412 "000000" 0.371 "010011" 0.371 "110101" 0.371 "011011"
0.431 "001000" 0.431 "101000" 0.431 "101101" 0.431 "010100" 0.431 "100100" 0.431 "100111" 0.431 "000110" 0.384 "010010" 0.384 "000011" 0.384 "101000"
0.288 "010000" 0.288 "000000" 0.175 "101100" 0.175 "000000" 0.175 "000100" 0.175 "000000" 0.175 "000001" 0.136 "000000" 0.136 "000100" 0.127 "000000"
0.413 "010000" 0.413 "000101" 0.191 "010010" 0.191 "000000" 0.191 "001001" 0.191 "000000" 0.191 "000111" 0.186 "000011" 0.186 "000100" 0.163 "000000"
0.243 "001010" 0.243 "100000" 0.157 "000000" 0.157 "000100" 0.157 "000000" 0.157 "001001" 0.049 "000000" 0.049 "000000" 0.049 "010000" 0.001 "000000"
