"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.215 "010010" 0.191 "001010" 0.191 "000100" 0.191 "000000" 0.191 "100000" 0.191 "100100" 0.191 "000000" 0.19 "001001" 0.19 "000000" 0.19 "001001"
0.301 "010000" 0.184 "010000" 0.184 "001010" 0.09 "100000" 0.09 "000000" 0.09 "000000" 0.09 "000000" 0.09 "000000" 0.09 "000000" 0.09 "000001"
0.635 "011010" 0.54 "101100" 0.54 "101101" 0.021 "001000" 0.021 "000000" 0.021 "000000" 0.021 "000000" 0.021 "000000" 0.021 "000000" 0.021 "000100"
0.412 "101000" 0.412 "100100" 0.412 "100010" 0.412 "011000" 0.412 "000010" 0.412 "000111" 0.292 "000100" 0.15 "000000" 0.15 "000000" 0.147 "000011"
0.429 "110101" 0.429 "000011" 0.429 "100001" 0.429 "100000" 0.429 "101110" 0.429 "101000" 0.254 "101001" 0.11 "001000" 0.11 "000100" 0.092 "000001"
0.4 "010001" 0.4 "011110" 0.4 "001000" 0.4 "000101" 0.4 "101000" 0.4 "101000" 0.4 "000000" 0.376 "000000" 0.376 "100010" 0.366 "000100"
0.445 "100111" 0.435 "100001" 0.435 "000101" 0.435 "111000" 0.435 "111100" 0.435 "100101" 0.435 "000001" 0.435 "110100" 0.435 "010100" 0.434 "010010"
0.203 "000100" 0.117 "000100" 0.117 "000001" 0.116 "000000" 0.116 "000000" 0.115 "010000" 0.115 "000000" 0.115 "001010" 0.115 "000000" 0.115 "000000"
0.294 "111000" 0.197 "011000" 0.197 "001001" 0.146 "010000" 0.146 "000000" 0.031 "000000" 0.028 "000000" 0.028 "000000" 0.028 "000000" 0.028 "000000"
0.302 "000000" 0.142 "000000" 0.142 "010010" 0.136 "010000" 0.136 "100000" 0.037 "000000" 0.014 "000000" 0.014 "000000" 0.014 "000000" 0.014 "000000"
0.396 "000010" 0.239 "011001" 0.239 "111001" 0.239 "000000" 0.239 "010101" 0.239 "000000" 0.215 "000010" 0.215 "110000" 0.215 "011000" 0.215 "010010"
0.591 "111010" 0.507 "011001" 0.507 "101011" 0.507 "100011" 0.507 "001011" 0.507 "001110" 0.502 "010001" 0.502 "011111" 0.502 "010010" 0.502 "110001"
0.42 "000110" 0.42 "011001" 0.42 "111100" 0.252 "000100" 0.252 "000000" 0.252 "001000" 0.252 "010001" 0.219 "011010" 0.219 "010101" 0.143 "111000"
0.292 "000000" 0.292 "010100" 0.292 "100000" 0.292 "000010" 0.292 "110000" 0.292 "000011" 0.292 "000000" 0.289 "010010" 0.289 "010000" 0.239 "001010"
0.382 "000110" 0.349 "000011" 0.349 "000000" 0.323 "011100" 0.323 "011001" 0.066 "000000" 0 "000000" 0 "000000" 0 "000000" 0 "000000"
0.386 "010000" 0.329 "100001" 0.329 "001000" 0.104 "000000" 0.104 "000000" 0.104 "000000" 0.001 "000000" 0.001 "000000" 0.001 "000000" 0.001 "000000"
0.211 "000000" 0.159 "001000" 0.159 "000101" 0.129 "000000" 0.129 "000000" 0.129 "001000" 0.092 "100000" 0.092 "100000" 0.092 "000000" 0.092 "000000"
0.494 "101001" 0.494 "010000" 0.494 "010111" 0.273 "001000" 0.273 "100100" 0.273 "000000" 0.273 "000100" 0.273 "000010" 0.273 "000010" 0.222 "100001"
0.244 "001000" 0.244 "000010" 0.244 "000000" 0.244 "000011" 0.244 "000010" 0.244 "100000" 0.219 "010000" 0.219 "100000" 0.219 "000000" 0.179 "000010"
0.155 "000000" 0.155 "000001" 0.155 "001000" 0.155 "000010" 0.155 "000001" 0.155 "000001" 0.08 "010000" 0.08 "000000" 0.08 "000000" 0.078 "010000"
0.283 "010100" 0.283 "000001" 0.283 "000000" 0.283 "001110" 0.283 "010010" 0.241 "000000" 0.135 "000000" 0.135 "100001" 0.135 "010000" 0.135 "000000"
0.492 "111001" 0.49 "001001" 0.49 "001001" 0.17 "000000" 0.144 "000000" 0.144 "000000" 0 "000000" 0 "000000" 0 "000000" 0 "000000"
0.34 "110000" 0.34 "101000" 0.34 "110100" 0.339 "000000" 0.339 "010000" 0.339 "100000" 0.339 "101100" 0.339 "101011" 0.339 "010001" 0.256 "000001"
0.256 "101100" 0.256 "001101" 0.223 "010000" 0.223 "000000" 0.223 "100000" 0.223 "100000" 0.216 "001010" 0.216 "000110" 0.216 "000001" 0.105 "000000"
0.142 "100000" 0.142 "000000" 0.133 "000101" 0.133 "010000" 0.133 "010000" 0.133 "101100" 0.073 "000000" 0.073 "000000" 0.073 "000000" 0.018 "000000"
0.334 "000110" 0.334 "101100" 0.334 "111101" 0.334 "100100" 0.334 "101010" 0.334 "000000" 0.228 "000000" 0.228 "000100" 0.228 "101010" 0.226 "000000"
0.483 "000100" 0.483 "010101" 0.474 "000100" 0.474 "000010" 0.474 "101101" 0.474 "011100" 0.377 "100101" 0.377 "011000" 0.377 "001001" 0.377 "100101"
0.264 "001100" 0.264 "010100" 0.172 "100000" 0.172 "000000" 0.172 "001000" 0.172 "100000" 0.03 "100000" 0.03 "000000" 0.03 "000000" 0.03 "000000"
0.455 "011011" 0.455 "010000" 0.451 "100010" 0.444 "001001" 0.148 "000001" 0.148 "000000" 0.044 "000000" 0.044 "000000" 0.044 "000010" 0.044 "001000"
0.304 "000010" 0.304 "110101" 0.304 "000010" 0.304 "010000" 0.304 "010010" 0.304 "000100" 0.304 "000011" 0.304 "100001" 0.304 "001000" 0.25 "010000"
0.325 "110111" 0.325 "101100" 0.29 "000011" 0.29 "000000" 0.29 "001000" 0.29 "000010" 0.29 "001100" 0.29 "000100" 0.29 "000000" 0.248 "101000"
0.539 "000001" 0.539 "011011" 0.119 "000000" 0.119 "000000" 0.119 "000000" 0.119 "000000" 0.117 "001000" 0.117 "000000" 0.117 "000010" 0.076 "000000"
0.249 "011100" 0.249 "010011" 0.121 "000000" 0.121 "000001" 0.121 "000010" 0.121 "000010" 0.044 "000001" 0.037 "000000" 0.037 "000000" 0.037 "000000"
0.495 "000100" 0.495 "110001" 0.149 "010000" 0.149 "000000" 0.149 "100000" 0.149 "001000" 0.077 "000000" 0.077 "000010" 0.077 "001000" 0.077 "000001"
0.331 "100101" 0.331 "110000" 0.283 "100000" 0.283 "001010" 0.161 "100101" 0.161 "010010" 0.127 "100000" 0.127 "000010" 0.127 "000010" 0.127 "000000"
0.192 "010000" 0.192 "011000" 0.182 "000110" 0.182 "000110" 0.182 "000011" 0.182 "000000" 0.182 "100000" 0.182 "000000" 0.182 "000010" 0.172 "000000"
0.536 "011011" 0.536 "111001" 0.536 "011011" 0.536 "101010" 0.536 "001010" 0.536 "110010" 0.52 "011111" 0.031 "100000" 0.031 "000000" 0.031 "000000"
0.236 "101100" 0.236 "110100" 0.223 "100001" 0.223 "100101" 0.223 "000110" 0.223 "001000" 0.19 "001000" 0.114 "010100" 0.114 "100100" 0.114 "000000"
0.446 "010100" 0.446 "111000" 0.394 "000110" 0.394 "000000" 0.394 "100010" 0.394 "101000" 0.385 "010000" 0.385 "110010" 0.385 "000000" 0.385 "000101"
0.202 "000000" 0.202 "000000" 0.199 "000000" 0.199 "001000" 0.199 "001001" 0.199 "100000" 0.199 "100100" 0.199 "101000" 0.199 "100000" 0.199 "100000"
0.499 "100001" 0.499 "010010" 0.499 "110101" 0.499 "111001" 0.499 "001110" 0.499 "011101" 0.499 "101100" 0.499 "010011" 0.499 "001110" 0.499 "011101"
