"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.327 "000000" 0.327 "000101" 0.266 "100001" 0.266 "000111" 0.266 "000010" 0.266 "000000" 0.266 "000101" 0.266 "010000" 0.266 "010000" 0.266 "000000"
0.64 "111111" 0.64 "111101" 0.637 "111111" 0.637 "110110" 0.637 "110011" 0.637 "101110" 0.637 "110110" 0.637 "010100" 0.637 "100111" 0.637 "010110"
0.341 "000100" 0.341 "000100" 0.341 "001011" 0.341 "011011" 0.341 "010101" 0.341 "100110" 0.341 "110100" 0.341 "011000" 0.341 "010010" 0.341 "001011"
0.517 "111110" 0.472 "110000" 0.472 "000100" 0.472 "001101" 0.472 "000011" 0.333 "000000" 0.333 "010000" 0.333 "000011" 0.333 "100101" 0.333 "100100"
0.441 "101011" 0.409 "100000" 0.409 "001011" 0.409 "010010" 0.409 "101000" 0.341 "001001" 0.341 "000100" 0.341 "001000" 0.341 "000001" 0.341 "011011"
0.172 "100000" 0.171 "110001" 0.093 "000000" 0.093 "000000" 0.093 "000000" 0.093 "000000" 0.093 "000000" 0.093 "000000" 0.093 "000000" 0.093 "000000"
0.516 "000101" 0.516 "001110" 0.156 "000000" 0.156 "010000" 0.156 "101000" 0.156 "000000" 0.156 "000000" 0.156 "000110" 0.156 "000000" 0.156 "101000"
0.314 "100110" 0.314 "000010" 0.204 "000001" 0.204 "000000" 0.204 "000001" 0.204 "000000" 0.204 "100000" 0.204 "001001" 0.204 "000100" 0.204 "010000"
0.357 "001000" 0.357 "110100" 0.351 "000001" 0.351 "101001" 0.351 "010010" 0.351 "001100" 0.351 "100000" 0.351 "101000" 0.351 "000000" 0.351 "100010"
0.496 "011110" 0.496 "101111" 0.496 "001111" 0.496 "100111" 0.496 "100110" 0.487 "010010" 0.487 "000101" 0.487 "110110" 0.487 "111001" 0.487 "000000"
0.282 "010010" 0.282 "000000" 0.282 "000000" 0.282 "000000" 0.282 "010011" 0.164 "001010" 0.164 "000001" 0.164 "000000" 0.164 "000010" 0.164 "001000"
0.614 "001101" 0.614 "000111" 0.614 "100110" 0.614 "111011" 0.614 "000111" 0.498 "101110" 0.498 "110011" 0.498 "100101" 0.498 "111100" 0.498 "100011"
0.17 "000001" 0.05 "000000" 0.05 "000000" 0.05 "000000" 0.05 "000000" 0.043 "000000" 0.043 "000000" 0.043 "000000" 0.043 "000000" 0.043 "000000"
0.078 "010100" 0.054 "000000" 0.037 "000000" 0.037 "000001" 0.037 "000000" 0.037 "000000" 0.037 "000000" 0.037 "000000" 0.037 "000000" 0.037 "000010"
0.249 "000000" 0.249 "000000" 0.249 "010101" 0.249 "000000" 0.249 "110000" 0.249 "000010" 0.233 "101000" 0.233 "010100" 0.233 "000001" 0.233 "001100"
0.441 "101011" 0.441 "000001" 0.441 "011010" 0.441 "000101" 0.441 "011010" 0.414 "100000" 0.18 "101000" 0.18 "010010" 0.18 "000010" 0.18 "000100"
0.394 "101001" 0.394 "000010" 0.394 "011000" 0.394 "000100" 0.394 "101000" 0.343 "000011" 0.289 "000000" 0.289 "000000" 0.289 "100000" 0.289 "001011"
0.5 "000111" 0.381 "010000" 0.365 "011111" 0.358 "100100" 0.358 "011111" 0.358 "010000" 0.358 "010000" 0.358 "000000" 0.358 "010001" 0.358 "000110"
0.212 "000000" 0.212 "011010" 0.209 "100000" 0.209 "000000" 0.209 "010000" 0.209 "001010" 0.209 "100011" 0.209 "000001" 0.209 "000100" 0.209 "000000"
0.417 "001101" 0.417 "000101" 0.196 "000101" 0.196 "000000" 0.196 "000011" 0.196 "001000" 0.156 "000000" 0.156 "100000" 0.156 "001100" 0.156 "000000"
0.331 "011000" 0.331 "101000" 0.243 "011000" 0.243 "001100" 0.243 "100000" 0.243 "001010" 0.136 "000101" 0.136 "101010" 0.136 "000000" 0.136 "000000"
0.502 "101111" 0.502 "111111" 0.502 "001100" 0.473 "000001" 0.473 "011110" 0.473 "001110" 0.198 "000000" 0.198 "001110" 0.198 "000000" 0.198 "000000"
0.482 "000000" 0.445 "001010" 0.388 "111000" 0.088 "000011" 0.088 "000000" 0.088 "000000" 0.088 "000000" 0.088 "001000" 0.088 "000000" 0.088 "000001"
0.393 "110000" 0.388 "010101" 0.366 "100111" 0.23 "101110" 0.23 "000000" 0.221 "000000" 0.221 "001010" 0.221 "010000" 0.221 "000100" 0.221 "000010"
0.508 "111110" 0.508 "110000" 0.508 "011100" 0.508 "110011" 0.508 "000000" 0.506 "110010" 0.506 "110100" 0.502 "100101" 0.502 "001100" 0.502 "001101"
0.43 "001000" 0.43 "011100" 0.43 "110001" 0.43 "100101" 0.43 "000100" 0.43 "101000" 0.287 "001110" 0.255 "000001" 0.255 "011000" 0.255 "000000"
0.485 "100000" 0.485 "101010" 0.485 "011011" 0.479 "100110" 0.479 "011001" 0.479 "100010" 0.134 "000000" 0.103 "000010" 0.103 "000010" 0.103 "000000"
0.479 "011100" 0.479 "011100" 0.479 "101010" 0.183 "000000" 0.183 "000000" 0.183 "000000" 0.157 "000000" 0.147 "000000" 0.147 "000000" 0.147 "000000"
0.397 "101010" 0.397 "101000" 0.397 "001110" 0.182 "000000" 0.182 "000001" 0.182 "010000" 0.18 "000110" 0.18 "000000" 0.18 "000000" 0.18 "000000"
