"Yr1.p" "Yr1.ch" "Yr2.p" "Yr2.ch" "Yr3.p" "Yr3.ch" "Yr4.p" "Yr4.ch" "Yr5.p" "Yr5.ch" "Yr6.p" "Yr6.ch" "Yr7.p" "Yr7.ch" "Yr8.p" "Yr8.ch" "Yr9.p" "Yr9.ch" "Yr10.p" "Yr10.ch"
0.327 "011100" 0.268 "010000" 0.268 "000110" 0.268 "011000" 0.057 "001000" 0.057 "000000" 0.057 "000000" 0.057 "000000" 0.054 "000000" 0.054 "000000"
0.624 "010100" 0.607 "011001" 0.607 "101110" 0.607 "010100" 0.193 "000001" 0.193 "001000" 0.193 "001000" 0.193 "000100" 0.177 "000110" 0.177 "100000"
0.546 "011011" 0.546 "111011" 0.546 "011111" 0.546 "111011" 0.534 "100010" 0.534 "100111" 0.534 "011100" 0.534 "011111" 0.525 "100010" 0.525 "111100"
0.322 "110000" 0.134 "000000" 0.134 "000000" 0.061 "000000" 0.061 "000000" 0.061 "000010" 0.061 "010000" 0.061 "000000" 0.061 "000000" 0.061 "000000"
0.413 "010010" 0.275 "001011" 0.275 "010000" 0.234 "011000" 0.233 "010000" 0.233 "010000" 0.233 "001000" 0.233 "000000" 0.233 "000000" 0.233 "000000"
0.179 "000010" 0.066 "001000" 0.066 "000000" 0.063 "000000" 0.052 "000010" 0.052 "001000" 0.052 "000000" 0.052 "000000" 0.051 "000000" 0.051 "000001"
0.475 "000001" 0.396 "011111" 0.396 "010000" 0.396 "000100" 0.391 "111000" 0.391 "110001" 0.391 "000011" 0.391 "011100" 0.365 "000101" 0.365 "000000"
0.44 "101010" 0.404 "011001" 0.404 "111011" 0.404 "101010" 0.404 "010000" 0.404 "000111" 0.404 "010011" 0.404 "110010" 0.347 "000100" 0.347 "100000"
0.344 "011100" 0.344 "010000" 0.344 "000001" 0.344 "010011" 0.344 "011100" 0.344 "100000" 0.333 "001000" 0.333 "101101" 0.284 "100001" 0.284 "010100"
0.427 "011100" 0.427 "001100" 0.388 "011111" 0.388 "101001" 0.388 "010101" 0.388 "101110" 0.307 "010000" 0.307 "101111" 0.28 "001010" 0.28 "111101"
0.504 "000110" 0.504 "110101" 0.413 "110010" 0.413 "001011" 0.413 "001010" 0.413 "000001" 0.407 "000101" 0.407 "100101" 0.406 "100101" 0.406 "001110"
0.404 "010101" 0.404 "101100" 0.28 "100100" 0.28 "100011" 0.28 "001010" 0.28 "111000" 0.28 "010010" 0.28 "100001" 0.28 "001000" 0.28 "100001"
0.537 "011001" 0.498 "111001" 0.498 "011010" 0.425 "001001" 0.397 "000000" 0.397 "001100" 0.397 "000010" 0.397 "010000" 0.397 "000000" 0.397 "100011"
0.293 "100000" 0.213 "000001" 0.213 "111000" 0.189 "000001" 0.138 "000000" 0.138 "000000" 0.138 "000000" 0.138 "100000" 0.133 "000000" 0.133 "000000"
0.472 "000011" 0.472 "000011" 0.452 "110000" 0.452 "101000" 0.452 "110100" 0.452 "110100" 0.081 "000000" 0.081 "000000" 0.031 "001000" 0.031 "000000"
0.36 "010001" 0.36 "010000" 0.273 "010001" 0.273 "100000" 0.273 "001000" 0.273 "000001" 0.18 "100101" 0.18 "000010" 0.173 "010101" 0.173 "011000"
0.396 "001110" 0.396 "110000" 0.328 "110011" 0.328 "000000" 0.328 "001010" 0.328 "010011" 0.328 "010000" 0.328 "010001" 0.328 "000100" 0.328 "010000"
0.443 "100000" 0.443 "100000" 0.443 "011100" 0.316 "001110" 0.306 "001010" 0.306 "000000" 0.306 "000101" 0.306 "010100" 0.306 "000110" 0.306 "110101"
0.318 "100000" 0.31 "101100" 0.31 "100000" 0.31 "000001" 0.242 "100000" 0.242 "000011" 0.223 "000000" 0.041 "000000" 0 "000000" 0 "000000"
0.523 "001011" 0.523 "111101" 0.523 "010111" 0.523 "100101" 0.5 "011011" 0.5 "101100" 0.118 "000000" 0.118 "000011" 0.006 "000000" 0.006 "000000"
0.292 "010011" 0.292 "001001" 0.292 "010110" 0.292 "100110" 0.291 "100111" 0.291 "101010" 0.139 "000000" 0.139 "000000" 0.032 "000000" 0.032 "000000"
0.204 "010000" 0.204 "000000" 0.171 "100001" 0.171 "100001" 0.171 "001100" 0.171 "110001" 0.133 "000000" 0.133 "000001" 0.13 "100100" 0.13 "000000"
0.423 "110110" 0.189 "101000" 0.189 "001000" 0.124 "000010" 0.055 "000100" 0.055 "000000" 0.055 "000000" 0.054 "000000" 0.054 "000000" 0.054 "000000"
0.422 "101011" 0.399 "101010" 0.399 "101000" 0.39 "101101" 0.293 "000100" 0.293 "001011" 0.293 "001010" 0.008 "000000" 0.008 "000000" 0.008 "000000"
0.423 "011010" 0.423 "101000" 0.423 "011001" 0.423 "011001" 0.351 "001010" 0.351 "000000" 0.351 "110000" 0.145 "000001" 0.13 "000100" 0.045 "000000"
0.291 "000010" 0.291 "110011" 0.291 "001000" 0.291 "001000" 0.252 "000000" 0.252 "010110" 0.232 "000011" 0.232 "000101" 0.188 "000000" 0.099 "100100"
0.185 "000000" 0.185 "000000" 0.185 "100000" 0.185 "100000" 0.184 "010010" 0.184 "000100" 0.158 "000000" 0.158 "000000" 0.113 "000000" 0.113 "000000"
0.472 "111011" 0.472 "110000" 0.472 "000100" 0.472 "110000" 0.472 "010000" 0.472 "001111" 0.134 "000101" 0.134 "000100" 0.122 "000000" 0.122 "100000"
0.476 "100011" 0.476 "000001" 0.476 "110000" 0.476 "100110" 0.476 "001001" 0.476 "000000" 0.33 "001000" 0.33 "101011" 0.33 "001001" 0.33 "001000"
0.293 "000001" 0.231 "000001" 0.231 "000000" 0.221 "100100" 0.22 "000100" 0.22 "000001" 0.22 "010000" 0.218 "011000" 0.218 "001010" 0.218 "000000"
0.485 "000000" 0.208 "000000" 0.208 "000101" 0.2 "000110" 0.172 "000000" 0.172 "000000" 0.172 "100010" 0.149 "000000" 0.149 "010001" 0.149 "000000"
0.176 "000000" 0.139 "000000" 0.139 "000001" 0.139 "010000" 0.088 "000000" 0.088 "000010" 0.088 "000001" 0.055 "000000" 0.055 "000000" 0.054 "101000"
0.263 "001110" 0.263 "001110" 0.263 "100000" 0.146 "100000" 0.146 "000000" 0.146 "100000" 0.146 "000000" 0.146 "000000" 0.146 "000000" 0.146 "000011"
0.247 "000000" 0.247 "000001" 0.246 "000010" 0.228 "000101" 0.228 "000100" 0.228 "000100" 0.161 "000000" 0.161 "010000" 0.161 "000100" 0.161 "011001"
0.283 "000110" 0.283 "010011" 0.271 "010110" 0.271 "000010" 0.271 "011000" 0.271 "010000" 0.244 "111000" 0.244 "101000" 0.244 "000000" 0.244 "100100"
